,0
1525,18985
1526,19001
1527,19002
1528,19007
1529,19015
1530,19022
1531,19035
1532,19041
1533,19043
1534,19048
1535,19052
1536,19072
1537,19082
1538,19085
1539,19091
1540,19095
1541,19104
1542,19105
1543,19132
1544,19142
1545,19143
1546,19144
1547,19160
1548,19171
1549,19173
1550,19174
1551,19195
1552,19198
1553,19214
1554,19215
1555,19220
1556,19244
1557,19253
1558,19263
1559,19264
1560,19277
1561,19281
1562,19283
1563,19288
1564,19289
1565,19292
1566,19303
1567,19305
1568,19306
1569,19324
1570,19329
1571,19331
1572,19338
1573,19372
1574,19381
1575,19385
1576,19394
1577,19424
1578,19432
1579,19435
1580,19439
1581,19457
1582,19463
1583,19473
1584,19493
1585,19502
1586,19522
1587,19534
1588,19537
1589,19544
1590,19552
1591,19556
1592,19557
1593,19578
1594,19585
1595,19590
1596,19591
1597,19593
1598,19609
1599,19613
1600,19614
1601,19625
1602,19636
1603,19645
1604,19657
1605,19666
1606,19675
1607,19677
1608,19684
1609,19687
1610,19688
1611,19690
1612,19691
1613,19692
1614,19693
1615,19694
1616,19695
1617,19697
1618,19699
1619,19700
1620,19703
1621,19706
1622,19708
1623,19712
1624,19716
1625,19718
1626,19719
1627,19723
1628,19726
1629,19732
1630,19734
1631,19735
1632,19739
1633,19740
1634,19744
1635,19745
1636,19748
1637,19750
1638,19754
1639,19756
1640,19759
1641,19763
1642,19764
1643,19765
1644,19768
1645,19772
1646,19780
1647,19790
1648,19807
1649,19808
1650,19809
1651,19813
1652,19822
1653,19829
1654,19836
1655,19840
1656,19854
1657,19863
1658,19864
1659,19872
1660,19885
1661,19899
1662,19930
1663,19940
1664,19955
1665,19964
1666,19979
1667,19984
1668,20034
1669,20068
1670,20073
1671,20111
1672,20118
1673,20180
1674,20188
1675,20189
1676,20193
1677,20194
1678,20206
1679,20295
1680,20379
1681,20454
1682,20482
1683,20483
1684,20570
1685,20579
1686,20590
1687,20605
1688,20606
1689,20607
1690,20615
1691,20616
1692,20618
1693,20622
1694,20650
1695,20655
1696,20656
1697,20662
1698,20708
1699,20722
1700,20741
1701,20761
1702,20791
1703,20799
1704,20808
1705,20822
1706,20850
1707,20851
1708,20853
1709,20858
1710,20864
1711,20866
1712,20867
1713,20872
1714,20878
1715,20879
1716,20880
1717,20923
1718,20926
1719,20932
1720,20937
1721,20938
1722,20940
1723,20943
1724,20944
1725,20963
1726,21004
1727,21022
1728,21030
1729,21035
1730,21048
1731,21052
1732,21054
1733,21081
1734,21096
1735,21097
1736,21105
1737,21124
1738,21133
1739,21134
1740,21140
1741,21145
1742,21148
1743,21155
1744,21158
1745,21159
1746,21161
1747,21162
1748,21166
1749,21169
1750,21175
1751,21176
1752,21182
1753,21185
1754,21192
1755,21199
1756,21204
1757,21233
1758,21237
1759,21261
1760,21268
1761,21269
1762,21272
1763,21276
1764,21284
1765,21287
1766,21304
1767,21305
1768,21308
1769,21310
1770,21328
1771,21330
1772,21383
1773,21402
1774,21411
1775,21435
1776,21445
1777,21461
1778,21486
1779,21489
1780,21498
1781,21515
1782,21521
1783,21523
1784,21552
1785,21559
1786,21561
1787,21563
1788,21570
1789,21573
1790,21577
1791,21592
1792,21613
1793,21626
1794,21635
1795,21637
1796,21638
1797,21644
1798,21659
1799,21672
1800,21679
1801,21687
1802,21688
1803,21693
1804,21695
1805,21696
1806,21703
1807,21708
1808,21715
1809,21718
1810,21738
1811,21746
1812,21756
1813,21758
1814,21767
1815,21769
1816,21773
1817,21782
1818,21784
1819,21787
1820,21790
1821,21793
1822,21796
1823,21800
1824,21805
1825,21806
1826,21810
1827,21811
1828,21813
1829,21869
1830,21893
1831,21931
1832,21944
1833,21948
1834,21977
1835,21980
1836,21981
1837,21987
1838,22005
1839,22007
1840,22014
1841,22066
1842,22070
1843,22082
1844,22083
1845,22084
1846,22085
1847,22086
1848,22108
1849,22110
1850,22111
1851,22114
1852,22115
1853,22123
1854,22142
1855,22198
1856,22211
1857,22220
1858,22221
1859,22227
1860,22236
1861,22244
1862,22245
1863,22259
1864,22268
1865,22272
1866,22273
1867,22275
1868,22278
1869,22280
1870,22282
1871,22287
1872,22288
1873,22291
1874,22298
1875,22299
1876,22300
1877,22323
1878,22329
1879,22335
1880,22342
1881,22346
1882,22350
1883,22386
1884,22388
1885,22422
1886,22425
1887,22470
1888,22483
1889,22485
1890,22488
1891,22490
1892,22493
1893,22497
1894,22514
1895,22523
1896,22526
1897,22545
1898,22561
1899,22586
1900,22590
1901,22592
1902,22593
1903,22595
1904,22597
1905,22606
1906,22609
1907,22614
1908,22616
1909,22618
1910,22621
1911,22632
1912,22633
1913,22635
1914,22644
1915,22666
1916,22694
1917,22696
1918,22698
1919,22714
1920,22733
1921,22751
1922,22752
1923,22757
1924,22762
1925,22767
1926,22776
1927,22779
1928,22801
1929,22802
1930,22803
1931,22809
1932,22818
1933,22819
1934,22864
1935,22869
1936,22870
1937,22874
1938,22877
1939,22882
1940,22883
1941,22891
1942,22892
1943,22895
1944,22897
