Validation_Set,Topics,Alpha,Beta,Coherence
15% Corpus,3,0.9099999999999999,0.31,0.5490568436376787
15% Corpus,3,0.9099999999999999,0.61,0.5752095520069949
15% Corpus,3,0.9099999999999999,0.9099999999999999,0.6700511236724692
15% Corpus,3,0.9099999999999999,symmetric,0.5693140888061764
15% Corpus,3,asymmetric,0.01,0.6000439900946812
15% Corpus,3,asymmetric,0.31,0.6045775845491576
15% Corpus,3,asymmetric,0.61,0.6192591712917065
15% Corpus,3,asymmetric,0.9099999999999999,0.5679396951548341
15% Corpus,3,asymmetric,symmetric,0.6371115738979443
15% Corpus,4,0.01,0.01,0.6130358175742028
15% Corpus,4,0.01,0.31,0.5851485084065071
15% Corpus,4,0.01,0.61,0.6013844457949147
15% Corpus,4,0.01,0.9099999999999999,0.6075158125412267
15% Corpus,4,0.01,symmetric,0.542296941040911
15% Corpus,4,0.31,0.01,0.6130834170020266
15% Corpus,4,0.31,0.31,0.6009562669195216
15% Corpus,4,0.31,0.61,0.5948952086636952
15% Corpus,4,0.31,0.9099999999999999,0.6312153884407681
15% Corpus,4,0.31,symmetric,0.5357403663731141
15% Corpus,4,0.61,0.01,0.6075339286005681
15% Corpus,4,0.61,0.31,0.5940099154515703
15% Corpus,4,0.61,0.61,0.6320703458799943
15% Corpus,4,0.61,0.9099999999999999,0.6583822535635722
15% Corpus,4,0.61,symmetric,0.5860073473090402
15% Corpus,4,0.9099999999999999,0.01,0.6079828311667229
15% Corpus,4,0.9099999999999999,0.31,0.5889106417887036
15% Corpus,4,0.9099999999999999,0.61,0.6252310783430013
15% Corpus,4,0.9099999999999999,0.9099999999999999,0.6736991000798785
15% Corpus,4,0.9099999999999999,symmetric,0.6133228966645924
15% Corpus,4,asymmetric,0.01,0.5606955403835865
15% Corpus,4,asymmetric,0.31,0.6329222856584209
15% Corpus,4,asymmetric,0.61,0.5850390247394215
15% Corpus,4,asymmetric,0.9099999999999999,0.4760888542560294
15% Corpus,4,asymmetric,symmetric,0.46434538211054976
15% Corpus,5,0.01,0.01,0.6149071453152632
15% Corpus,5,0.01,0.31,0.5957770237280794
15% Corpus,5,0.01,0.61,0.5604740557927328
15% Corpus,5,0.01,0.9099999999999999,0.5903386188595381
15% Corpus,5,0.01,symmetric,0.4500505541176212
15% Corpus,5,0.31,0.01,0.6018053769446748
15% Corpus,5,0.31,0.31,0.5302397514389267
15% Corpus,5,0.31,0.61,0.5990037556659306
15% Corpus,5,0.31,0.9099999999999999,0.6116335495027063
15% Corpus,5,0.31,symmetric,0.5358409397729834
15% Corpus,5,0.61,0.01,0.602075088878679
15% Corpus,5,0.61,0.31,0.44503810120591103
15% Corpus,5,0.61,0.61,0.6247269919478947
15% Corpus,5,0.61,0.9099999999999999,0.6477035717014236
15% Corpus,5,0.61,symmetric,0.5520659541692823
15% Corpus,5,0.9099999999999999,0.01,0.5809851723993804
15% Corpus,5,0.9099999999999999,0.31,0.536537201487073
15% Corpus,5,0.9099999999999999,0.61,0.6545235768797104
15% Corpus,5,0.9099999999999999,0.9099999999999999,0.6559771822839541
15% Corpus,5,0.9099999999999999,symmetric,0.5955264808409428
15% Corpus,5,asymmetric,0.01,0.5008242312353521
15% Corpus,5,asymmetric,0.31,0.6162217248322721
15% Corpus,5,asymmetric,0.61,0.49534039915974615
15% Corpus,5,asymmetric,0.9099999999999999,0.5277345405565588
15% Corpus,5,asymmetric,symmetric,0.45443817727690633
15% Corpus,6,0.01,0.01,0.4879045476148421
15% Corpus,6,0.01,0.31,0.5846675801988143
15% Corpus,6,0.01,0.61,0.5358982464601924
15% Corpus,6,0.01,0.9099999999999999,0.5790622948504919
15% Corpus,6,0.01,symmetric,0.4344329918020271
15% Corpus,6,0.31,0.01,0.5916616338033861
15% Corpus,6,0.31,0.31,0.6022115569787984
15% Corpus,6,0.31,0.61,0.5713391823514072
15% Corpus,6,0.31,0.9099999999999999,0.5492781364817226
15% Corpus,6,0.31,symmetric,0.44802468269866463
15% Corpus,6,0.61,0.01,0.5740383730798101
15% Corpus,6,0.61,0.31,0.5259631091698417
15% Corpus,6,0.61,0.61,0.6536504343185532
15% Corpus,6,0.61,0.9099999999999999,0.6497309192747525
15% Corpus,6,0.61,symmetric,0.45608473101675023
15% Corpus,6,0.9099999999999999,0.01,0.5815033960297236
15% Corpus,6,0.9099999999999999,0.31,0.4840884818314904
15% Corpus,6,0.9099999999999999,0.61,0.6604010456454369
15% Corpus,6,0.9099999999999999,0.9099999999999999,0.6528716018786285
15% Corpus,6,0.9099999999999999,symmetric,0.5429564825337482
15% Corpus,6,asymmetric,0.01,0.528549016170447
15% Corpus,6,asymmetric,0.31,0.5792644279938638
15% Corpus,6,asymmetric,0.61,0.555231949271375
15% Corpus,6,asymmetric,0.9099999999999999,0.6817821210212224
15% Corpus,6,asymmetric,symmetric,0.4615705599638312
15% Corpus,7,0.01,0.01,0.49689269740347913
15% Corpus,7,0.01,0.31,0.602692286239597
15% Corpus,7,0.01,0.61,0.536033091896336
15% Corpus,7,0.01,0.9099999999999999,0.5440014997475268
15% Corpus,7,0.01,symmetric,0.4991177852262044
15% Corpus,7,0.31,0.01,0.542532490309724
15% Corpus,7,0.31,0.31,0.6050386082008098
15% Corpus,7,0.31,0.61,0.5618134434405725
15% Corpus,7,0.31,0.9099999999999999,0.5337988345458393
15% Corpus,7,0.31,symmetric,0.4957854442118088
15% Corpus,7,0.61,0.01,0.5470139620357517
15% Corpus,7,0.61,0.31,0.5631967082694269
15% Corpus,7,0.61,0.61,0.6465799789690042
15% Corpus,7,0.61,0.9099999999999999,0.6634572838228135
15% Corpus,7,0.61,symmetric,0.43368780633993226
15% Corpus,7,0.9099999999999999,0.01,0.5651629092680897
15% Corpus,7,0.9099999999999999,0.31,0.48002309363231027
15% Corpus,7,0.9099999999999999,0.61,0.6564507608778695
15% Corpus,7,0.9099999999999999,0.9099999999999999,0.6519751462981411
15% Corpus,7,0.9099999999999999,symmetric,0.5256460651376968
15% Corpus,7,asymmetric,0.01,0.4813995271739849
15% Corpus,7,asymmetric,0.31,0.6004055510186264
15% Corpus,7,asymmetric,0.61,0.571287066342765
15% Corpus,7,asymmetric,0.9099999999999999,0.6730940991304853
15% Corpus,7,asymmetric,symmetric,0.45018619362048223
15% Corpus,8,0.01,0.01,0.46919745205551133
15% Corpus,8,0.01,0.31,0.5497137887698393
15% Corpus,8,0.01,0.61,0.505665333230789
15% Corpus,8,0.01,0.9099999999999999,0.5517111896580872
15% Corpus,8,0.01,symmetric,0.4764226449029195
15% Corpus,8,0.31,0.01,0.5352007906131153
15% Corpus,8,0.31,0.31,0.5966220403938549
15% Corpus,8,0.31,0.61,0.5056126488319533
15% Corpus,8,0.31,0.9099999999999999,0.5606665518820236
15% Corpus,8,0.31,symmetric,0.4917072697780085
15% Corpus,8,0.61,0.01,0.55211426565196
15% Corpus,8,0.61,0.31,0.5610295532612843
15% Corpus,8,0.61,0.61,0.6660040687126065
15% Corpus,8,0.61,0.9099999999999999,0.6642704178829495
15% Corpus,8,0.61,symmetric,0.4796440471022324
15% Corpus,8,0.9099999999999999,0.01,0.5512190526749531
15% Corpus,8,0.9099999999999999,0.31,0.5483894961207132
15% Corpus,8,0.9099999999999999,0.61,0.6598508786121839
15% Corpus,8,0.9099999999999999,0.9099999999999999,0.6616115848726393
15% Corpus,8,0.9099999999999999,symmetric,0.4923949905156068
15% Corpus,8,asymmetric,0.01,0.48949265187293417
15% Corpus,8,asymmetric,0.31,0.5703042995131458
15% Corpus,8,asymmetric,0.61,0.6135328086430436
15% Corpus,8,asymmetric,0.9099999999999999,0.6797556656148307
15% Corpus,8,asymmetric,symmetric,0.4464836688734088
15% Corpus,9,0.01,0.01,0.5171142194226017
15% Corpus,9,0.01,0.31,0.5188282903399505
15% Corpus,9,0.01,0.61,0.4971879279796699
15% Corpus,9,0.01,0.9099999999999999,0.5331022186051063
15% Corpus,9,0.01,symmetric,0.5196002614937444
15% Corpus,9,0.31,0.01,0.5055296128448875
15% Corpus,9,0.31,0.31,0.5317436148274827
15% Corpus,9,0.31,0.61,0.5190342028709255
15% Corpus,9,0.31,0.9099999999999999,0.5495572538519499
15% Corpus,9,0.31,symmetric,0.5023066485798875
15% Corpus,9,0.61,0.01,0.5344618988066572
15% Corpus,9,0.61,0.31,0.5981999241314434
15% Corpus,9,0.61,0.61,0.6738024660300392
15% Corpus,9,0.61,0.9099999999999999,0.6722801144081058
15% Corpus,9,0.61,symmetric,0.4602744647820552
15% Corpus,9,0.9099999999999999,0.01,0.5258195868972998
15% Corpus,9,0.9099999999999999,0.31,0.6176352718114396
15% Corpus,9,0.9099999999999999,0.61,0.6604106264294498
15% Corpus,9,0.9099999999999999,0.9099999999999999,0.6352843517136585
15% Corpus,9,0.9099999999999999,symmetric,0.49102329719672494
15% Corpus,9,asymmetric,0.01,0.5037534474021221
15% Corpus,9,asymmetric,0.31,0.5493788474880771
15% Corpus,9,asymmetric,0.61,0.6106409138222038
15% Corpus,9,asymmetric,0.9099999999999999,0.609057586551908
15% Corpus,9,asymmetric,symmetric,0.4714698514543351
15% Corpus,10,0.01,0.01,0.46308611022328205
15% Corpus,10,0.01,0.31,0.5225430327689801
15% Corpus,10,0.01,0.61,0.5257594783472316
15% Corpus,10,0.01,0.9099999999999999,0.5427973658480535
15% Corpus,10,0.01,symmetric,0.4747427806907914
15% Corpus,10,0.31,0.01,0.4995245451783936
15% Corpus,10,0.31,0.31,0.5752990502905531
15% Corpus,10,0.31,0.61,0.5125062926648012
15% Corpus,10,0.31,0.9099999999999999,0.5798627186273903
15% Corpus,10,0.31,symmetric,0.5182110054108255
15% Corpus,10,0.61,0.01,0.5086651151521355
15% Corpus,10,0.61,0.31,0.5926716099782644
15% Corpus,10,0.61,0.61,0.6690098625166772
15% Corpus,10,0.61,0.9099999999999999,0.6637752312505384
15% Corpus,10,0.61,symmetric,0.494465101223471
15% Corpus,10,0.9099999999999999,0.01,0.5033190260742761
15% Corpus,10,0.9099999999999999,0.31,0.6088863922981915
15% Corpus,10,0.9099999999999999,0.61,0.6602073513834396
15% Corpus,10,0.9099999999999999,0.9099999999999999,0.632487437856579
15% Corpus,10,0.9099999999999999,symmetric,0.4772296074657536
15% Corpus,10,asymmetric,0.01,0.5235162929950244
15% Corpus,10,asymmetric,0.31,0.5310911345887825
15% Corpus,10,asymmetric,0.61,0.6131910892932859
15% Corpus,10,asymmetric,0.9099999999999999,0.6135118171743835
15% Corpus,10,asymmetric,symmetric,0.46670213467293864
